,question,category,answer,choices/0,choices/1,choices/2,choices/3
1243,"This Swedish city was founded by Gustav II Adolf, who was known by the Latinized name Gustavus Adolphus and was King of Sweden from 1611 until his death.",history,Goteborg,Stockholm,Goteborg,Malmo,Lund
1244,"Charles X Gustav (Karl X Gustaf) was a descendant of the House of Palatinate-ZweibrÃ¼cken. On July 10, 1655, he left Sweden to engage in the Second  Northern War (1655-1660) which started with the occupation of DÃ¼naburg by the Swedes on July 1, 1655. Eventually his armies occupied most of this European country.",history,Poland,Prussia,Lithuania,Russia,Poland
1245,"Gustav III of Sweden, a member of a House of Holstein-Gottorp, was assassinated at a midnight masquerade at the Royal Swedish Opera in Stockholm on March 16, 1792. This became the basis of Eugene Scribes libretto for the opera Un Ballo in Maschera (A Masked Ball). Who composed the opera?",history,Giuseppe Verdi,Gioachino Rossini,Giuseppe Verdi,Gaetano Donizetti,Giacomo Puccinis
1246,Gustav IV Adolf of Sweden voluntarily abdicated in the winter of 1808 when Russia invaded Sweden and Denmark declared war. By early 1809 Sweden lost almost a third of the Swedish realm and a quarter of its population to the Russians. The territory which the Russians occupied is in this modern country.,history,Finland,Finland,Latvia,Lithuania,Poland
1247,"Gustaf V of Sweden, the last Swedish king to intervene directly in the politics of the country, was also a devoted sportsman, playing in tournaments under the pseudonym Mr G. In 1980, King Gustaf was elected into the International Hall of Fame of this sport.",history,Tennis,Chess,Polo,Golf,Tennis
1248,Most of the powers of the Swedish monarchy died with Gustaf VI Adolf who had two major interests in life besides his country: archeology and this science.,history,Botany,Astronomy,Physics,Music,Botany
1249,"King Carl XVI Gustaf ascended to the throne on September 15, 1973, after the death of his grandfather, King Gustaf VI Adolf. Carl XVI Gustaf, who is probably best known as the presenter of the Nobel Prizes,
publicly admitted to suffer from this condition.",history,Dyslexia,Hemophilia,Dyslexia,Epilepsy,Asthma
1250,Which of these are not characteristic of Gothic architecture?,history,dark or brown walls,dark or brown walls,ribbed vaults,flying buttresses,pointed arches
1251,In which of the following present-day countries was Gothic language spoken?,history,Italy,Germany,France,England,Italy
1253,"The final German goal of the Battle of Britain was a successful invasion of Britain, but before that the Germans had to achieve this intermediate goal.",history,Gaining air superiority over the English channel so that a German invasion fleet could cross the channel protected by the German air force.,Gaining air superiority over the English channel so that a German invasion fleet could cross the channel protected by the German air force.,Destroying the British arms manufacturing industries,Destroying the French underground guerrilla warfare,Defeating the British surface fleet in a great sea battle
1254,Never in the field of human conflict has so much been owed by so many to so few.â In this famous quote by Winston Churchill who were the few he was referring to?,history,British fighter pilots,British military leaders,British fighter pilots,British scientists,Anti-German spies in France and Belgium
1255,Which of these was an advantage the British had in the Battle of Britain?,history,British pilots forced to parachute from damaged planes often landed on friendly territory and could return to action soon afterward.,The British Army was a constant threat to make raids on German supply facilities and bases in France.,The British Navy was able to shoot down many German planes as they flew over the English Channel.,The British had a larger number of fighter planes than the Germans.,British pilots forced to parachute from damaged planes often landed on friendly territory and could return to action soon afterward.
1256,Which of these countries fought on the side of Britain during the Battle of Britain?,history,Canada,Canada,The Soviet Union,the United States,Belgium
1257,How was Catherine the Great of Russia related to Petar III?,history,She was his wife.,She was his cousin,She was his wife.,She was his daughter,She was his sister
1259,What King of England had his nephews put into the Tower of London?,history,Richard III,Henry VIII,Richard III,William I the Conqueror,Eduard IV
1260,How were Napoleon Bonaparte and Napoleon III related?,history,Uncle and nephew,They were not related.,Grandfather and grandson,Uncle and nephew,Father and son
1261,This King of the Franks conquered Italy and was crowned Imperator Augustus on 25 December 800.,history,Charles the Great,Wilhelm the Great,Charles the Great,Constantine the Great,Peter the Great
1262,What English Queen was daughter of Henry VIII and Anne Boleyn?,history,Elizabeth I,Catherine II,Louse Elizabeth,Elizabeth I,Anne
1263,What monarch transformed the Tsardom of Russia into the Russian Empire?,history,Peter I the Great,Alexander I (The Blessed),Peter I the Great,Paul I,Constantine I
1264,What dynasty ruled France before the Capetian dynasty?,history,Carolingian dynasty,Hapsburg dynasty,Carolingian dynasty,Merovingian dynasty,Bourbon dynasty
1265,"Frederick I Barbarossa, who was crowned Holy Roman Emperor in 1155, belonged to what royal dynasty?",history,Hohenstaufen,Austrian Habsburgs,Hohenstaufen,Spanish Habsburg,German Habsburgs
1266,What King of France was popularly known as the Sun King?,history,Louis XIV,Louis XVI,Louis X,Louis XV,Louis XIV
1267,"What Civil War battle ended on July 3, 1863 with a Union victory?",history,Gettysburg,Gettysburg,Appomattox Courthouse,Antietam,Second Bull Run
1268,"What General was named Commander of the UN forces in Korea on July 8, 1950?",history,Douglas MacArthur,Douglas MacArthur,Matthew Ridgway,Omar Bradley,George Patton
1269,"What song hit # 1 on the Billboard Charts on July 9, 1955?",history,Rock around the Clock,Rock around the Clock,The Twist,Johnny B Good,Teddy Bear
1270,"Who was sworn in as the 13th President on July 10, 1850 following the death of President Zachary Taylor?",history,Millard Fillmore,Franklin Pierce,James Buchanan,Millard Fillmore,James Polk
1271,"On July 11, 1804, V.P. Aaron Burr fatally wounded this famous founding father in a duel.",history,Alexander Hamilton,Alexander Hamilton,Thomas Jefferson,John Hancock,James Madison
1272,"What city opened the first Worlds Fair in the United States on July 14, 1853?",history,New York City,St. Louis,Chicago,New York City,Boston
1273,"What famous department chain closed it last stores on July 17, 1997?",history,Woolworths,Woolworths,Burdines,Montgomery Ward,Eckerds
1274,"Who was shot and killed by federal agents on July 22, 1934?",history,John Dillinger,Al Capone,Bonnie Parker,John Dillinger,Bugsy Malone
1275,"What federal institution was founded on July 26, 1908?",history,FBI,NSA,CIA,FBI,OSS
1276,"What President signed legislation on July 29, 1958 to create NASA?",history,Eisenhower,Truman,Eisenhower,Kennedy,Nixon
1277,What was the original meaning of the term samurai in Japanese language?,history,Those who serve in close attendance to nobility,Those who are sons of the warrior dragon,Those who listen to the wind whispering in the trees,Those who follow the way of the sword,Those who serve in close attendance to nobility
1278,"What does the term seppuku, connected with the culture of Japanese samurai, refer to?",history,Suicide,Suicide,A vow,Silence kept before a battle,A weapon
1279,What is the name of the slightly curved single-edged sword used by Japanese samurai warriors?,history,Katana,Yari,Katana,Yumi,Teppo
1280,What Eastern philosophy has greatly influenced the Japanese samurai culture?,history,Buddhism,Jainism,Sufism,Zoroastrianism,Buddhism
1281,Who would arrange the marriage of the Japanese samurai by tradition?,history,Someone with the same or higher rank,His parents,The brides parents,Someone with the same or higher rank,He would do it himself
1282,What is the term for the person who was usually the master of the Japanese samurai?,history,Daimyo,Daisho,Daimyo,Wakizashi,Jigai
1283,Bushido is the philosophy and code of conduct of the Japanese samurai. What does the word Bushido literally mean?,history,Way of the warrior,Way of the heart,Way of the warrior,Way of the sword,Way of honor
1284,What English sailor is believed to be the first Caucasian to receive the honor of becoming a samurai?,history,William Adams,Francis Drake,John Smith,John Franklin,William Adams
1285,In what century is James Clavells samurai novel Shogun set?,history,Seventeenth century,Tenth century,Fifteenth century,Seventeenth century,Twelfth century
1287,When was the Battle of Antietam fought?,history,"September, 1862","August, 1862","October, 1862","September, 1862","December, 1862"
1288,Who was the Union commander at the Battle of Antietam?,history,George McClellan,Phil Kearney,Israel Richardson,George Thomas,George McClellan
1289,"Which Union general, wounded in the foot at Antietam, would, within six months time, be the commander of the Army of the Potomac?",history,Joe Hooker,John Sedgwick,Ambrose Burnside,Joe Hooker,Samuel Crawford
1290,How many soldiers - Union and Confederate - were casualties at Antietam?,history,"23,000","20,000","25,000","23,000","17,000"
1291,Which of these landmarks would NOT be found on the Antietam battlefield?,history,Sherfys Peach Orchard,Sherfys Peach Orchard,West Woods,East Woods,Millers Cornfield
1292,Who was the Confederate commander at the Battle of Antietam?,history,Robert E. Lee,Stonewall Jackson,George B. McClellan,James Longstreet,Robert E. Lee
1293,How long did the Battle of Antietam last?,history,1 day,7 days,5 days,1 day,3 days
1294,Who served as President of the Confederate States of America at the time of the Battle of Antietam?,history,Jefferson Davis,Jefferson Davis,George Davis,Alexander Stephens,George W. Randolph
1295,Which battle preceded the Battle of Antietam?,history,The Second Battle of Bull Run,Battle of Chickamauga,The Second Battle of Bull Run,The Battle of Chancellorsville,The Battle of Gettysburg
1296,During what century is the King Arthur believed to have lived?,history,6th century AD,10th century AD,6th century AD,8th century AD,4th century AD
1297,The Byzantine period began in this century which also saw the  Valerians massacre of Christians.,history,3rd century AD,2nd century BC,6th century AD,3rd century AD,3rd century BC
1298,"Nostradamus, Martin Luther and Elizabeth I of England lived during what century?",history,16th century AD,13th century AD,14th century AD,18th century AD,16th century AD
1299,The first novel ever is believed to have been written in this century by the Japanese Lady Murasaki Shikibu.,history,11th century AD,5th century AD,2nd century BC,3rd century AD,11th century AD
1300,"Julius Caesar, Marcus Antonius, and Cleopatra VII of Egypt all lived in this century.",history,1st century BC,1st century AD,1st century BC,3rd century AD,3rd century BC
1301,What century marked the fall of the Western Roman Empire?,history,5th century AD,9th century AD,5th century AD,3rd century AD,7th century AD
1302,"During this century, the condom, the land mine and the sandpaper were invented.",history,13th century AD,17th century AD,15th century AD,3rd century AD,13th century AD
1303,"In what century were the fountain pen, shaving soap and street lamps invented?",history,9th century AD,12th century AD,14th century AD,9th century AD,16th century AD
1304,In what century did the Black Death kill about one third of the European population?,history,14th century AD,4th century AD,14th century AD,8th century AD,10th century AD
1305,"In this century, the decline of the Classical Maya civilization began, and Charlemagne was crowned the first Holy Roman Emperor by Pope Leo III.",history,8th century AD,13th century AD,11th century AD,8th century AD,16th century AD
1306,What does the term Mesozoic mean?,history,Middle life,Ancient life,Middle life,Age of ancient reptiles,Recent life
1307,The base of the Mesozoic is established by what major event in the history of life on Earth?,history,A mass extinction 251 million years ago,A mass extinction 251 million years ago,The formation of a super-continent,An increase in biodiversity,None of these
1309,What super-continent began to rift apart during the Mesozoic era?,history,Pangaea,Pangaea,Euramerica,Rodinia,None of these
1310,What marine reptiles evolved during the Triassic period and thrived during much of the Mesozoic era?,history,Ichthyosaurs,Ichthyosaurs,Pliosaurs,Plesiosaurs,Dinosaurs
1312,Which of the following describes the climate of the Triassic period?,history,Arid,Temperate,Tropical,None of these,Arid
1313,Which of the following was a large inland sea that covered much of central North America during the Late Cretaceous period?,history,Western Interior Seaway,Atlantic Ocean,Iapetus Ocean,Western Interior Seaway,Hudson Seaway
1314,What event signalled the end of the Mesozoic era?,history,A large mass extinction at the end of the Cretaceous,The evolution of humans,The evolution of flowering plants,None of these,A large mass extinction at the end of the Cretaceous
1315,Dinosaurs first evolved during the middle Triassic period approximately how many years ago?,history,225 million years ago,248 million years ago,190 million years ago,225 million years ago,251 million years ago
1316,Several hundred specimens of this species of dinosaur were discovered at Ghost Ranch.,history,Coelophysis bauri,Coelophysis bauri,Triceratops horridus,Eoraptor lunensis,Tyrannosaurus rex
1318,Name the early reptile creatures that evolved during the late Permian period and eventually gave rise to the dinosaurs and other creatures during the Mesozoic.,history,Thecodontians,Thecodontians,Crocodilians,None of these,Dinosauria
1320,An incomplete skeleton of this dinosaur was discovered in 1900.,history,Tyrannosaurus,Oviraptor,Tyrannosaurus,Albertosaurus,Dynamosaurus
1322,What genus of dinosaur contains what could be the largest dinosaur ever?,history,Amphicoelias,None of these,Apatosaurus,Brachiosaurus,Amphicoelias
1324,What does the term Cenozoic mean?,history,Recent life,Mammalian life,Ancient life,Recent life,Middle life
1325,How many epochs is the Cenozoic era divided into?,history,7,7,2,None of these,6
1326,This subcontinent collided with Eurasia 55 million years ago.,history,Indian subcontinent,Greenland,Indian subcontinent,None of these,Middle-eastern subcontinent
1329,The first true Homo sapiens (human) appeared in Africa about how many years ago?,history,"250,000 years ago",5 million years ago,"12,000 years ago","250,000 years ago",1 million years ago
1331,All recorded historical events occurred during this epoch.,history,Holocene,Pliocene,Miocene,Holocene,Pleistocene
1332,What event signalled the end of the Cenozoic?,history,The Cenozoic has not ended.,None of these,The evolution of humans,The Cenozoic has not ended.,A large mass extinction
1333,What does the term Precambrian mean?,history,Before-Cambrian,Middle life,Before-Cambrian,Recent life,Ancient life
1334,When did the earth form?,history,4.5 billion years ago,12 billion years ago,3.8 billion years ago,4.5 billion years ago,250 million years ago
1335,Where do the oldest rocks on Earth come from?,history,The Nuvvuagittuq greenstone belt,Narryer Gneiss Terrane,None of these,The Nuvvuagittuq greenstone belt,Acasta Gneiss
1336,Approximately what age are the oldest known fossils?,history,3.8 billion years old,4.5 billion years old,2.5 billion years old,540 million years old,3.8 billion years old
1339,Multicellular organisms evolved during what period of the Mesoproterozoic era?,history,Ectasian,Calymmian,Ectasian,Stenian,Ediacaran
1341,What event signalled the end of the Precambrian?,history,The evolution of organisms with hard shells,None of these,The evolution of organisms with hard shells,The Precambrian has not ended,A large mass extinction that occurred 542 million years ago
1342,What did Benjamin Franklin do in 1752?,history,Proved lightning is electricity,Fell and broke his hip,Invented exercise / dance,Stopped publishing Poor Richards Almanac,Proved lightning is electricity
1343,When did Francis Drake enter San Francisco bay and what country did he claim it for?,history,1579 - Britain,1579 - Britain,1536 - France,1603 - Portugal,1610 - Spain
1344,When did Boston become a settlement and who led it?,history,1630 - John Winthrop,1502 - William James,1630 - John Winthrop,1590 - Charles H. Connelly III,1610 - James Kennedy
1345,Harvard College was founded in what year?,history,1636,1790,1802,1636,1785
1346,Which one happened to the U.S. in 1791?,history,Bill of Rights goes into effect,War started with Canada,Bill of Rights goes into effect,1st recorded UFO sighting by an American,Benedict Arnold found guilty of being a traitor
1347,Which one happened to the U.S. in 1774?,history,Rhode Island abolished slavery,Noah Webster publishes his American dictionary,Rhode Island abolished slavery,The Boston Massacre,The Bill of Rights goes into effect
1348,Which one happened to the U.S. in 1796?,history,George Washington gives his farewell address,Nat Turner led slave rebellion in Virginia,Lewis and Clark begin westward survey,George Carlin was born,George Washington gives his farewell address
1349,"The Erie Canal is a canal in New York State, United States, that runs from the Hudson River to Lake Erie, connecting the Great Lakes with the Atlantic Ocean.  The entire canal was opened in which year?",history,1825,1904,1800,1825,1862
1351,When was the first U.S. adhesive postage stamp sold?,history,1847,1747,1690,1847,1790
1352,"The lefty, Henry Ford, founded the Ford Motor Company. Finish this quote and find out how he defined quality.
Quality means doing it right when ___________________________.",history,...no one is looking.,...everyone is looking.,...you want to.,...no one is looking.,...you are told to.
1353,"On what album released in 1986 would I find the following lyrics:
When I was 17 I did what people told me,
Did what my father said and let my mother mold me",history,Control - Janet Jackson,True Stories - Talking Heads,Control - Janet Jackson,True Colors - Cyndi Lauper,Raising Hell - Run DMC
1354,This fashionable head accessory was hip from the very beginning of the 80s until their end.,history,Headband,Hairpins,Artificial braids,Headband,Artificial comb
1355,This style dominated both music and fashion in the late 70s and early 80s. The Sex Pistols and The Exploited were just some of bands that had great influence on mens and womens look.,history,Punk,Trance,Reggae,House,Punk
1356,"As a popular style in the beginning of the 80s it became somewhat politically bound, these started appearing as common clothing adornments.",history,Political and social slogans,Fringes,Artificial stains,Artificial patches,Political and social slogans
1357,1983 was the year when this style of clothing finally went out of style.,history,Disco,Punk,Disco,Reggae,Grunge
1358,"This famous perfume was released in 1985. Its fragrance is made up of coriander, plum, anise, rosewood, rose, tuberose, honey, cinnamon, orange blossom, blackcurrant and red currant with a base of ambergris, laudanum and opoponax.",history,Poison,Coco,Obsession,Charlie,Poison
1359,"The style that became popular after the mid 80s includes ragged T-shirts, acid washed and torn jeans, cheap shirts, rubber bracelets, lots of hairspray and neon earrings.",history,Grunge,House,Punk,Disco,Grunge
1360,In 1987 Nike introduced these trainers that enable the wearer to jump higher.,history,Air,Cortez,Max 95,BW,Air
1361,This type of pants became the craze in the mid 80s. They had zippered patch pockets and zippered ankles.,history,Parachute pants,Boxers,Parachute pants,Blue jeans,Charlestone
1362,"These trinkets were often sold in a pack of 10-15. They were made of lightweight metal and came in gold, silver or color hues.",history,Bangle bracelets,Necklaces,Bangle bracelets,Plastic earrings,Neon rings
1363,In order to be trendy in the 80s you should do this with your hair.,history,Bleach it,Bleach it,Cut it really short,Straighten it,Put it in a bun
1364,Which nickname did Thomas Jonathan Jackson earn after managing to hold off the Union forces back at Henry House Hill?,history,Stonewall,Tom Fool,Stonewall,Old Blue Light,None of these
1366,The Civil War produced a number of technical innovations. One of the following was not used in this war.,history,Tanks,Mines,Tanks,Submarine,Observation Balloons
1367,This Union general earned the nickname The Rock of Chickamauga.,history,Thomas,Smith,Thomas,Sherman,Rosecrans
1369,Dixie was composed in 1859 by this man.,history,Daniel Decatur Emmett,Daniel Decatur Emmett,Jeff Davis,Joel Chandler Harris,Scott Joplin
1370,He was in command at the critical point in the Battle of Gettysburg?,history,Joshua Chamberlain,John Reynolds,Joshua Chamberlain,Winfield Scott Hancock,Dan Sickles
1371,"In what state did pope John Paul II and president Reagan meet in May, 1984?",history,Alaska,Hawaii,California,Connecticut,Alaska
1372,Name the Ohio senator who made an unsuccessful bid for presidency in 1984.,history,John H. Glenn Jr.,Reubin OD. Askew,John H. Glenn Jr.,Alan M. Cranston,George S. McGovern
1373,What company unveiled the unsuccessful PCjr?,history,International Business Machines (IBM),Tandy,Apple,Commodore,International Business Machines (IBM)
1374,What US presidents centennial birthday was celebrated in 1984?,history,Harry S Truman (1945-1953),Harry S Truman (1945-1953),Herbert Hoover (1929-1933),Franklin D. Roosevelt (1933-1945),Dwight D. Eisenhower (1953-1961)
1375,What countrys elections pit Jose Napoleon Duarte against Roberto DAubuisson in the first freely elected presidency of more than 50 years.,history,El Salvador,El Salvador,Panama,Guatemala,Ecquador
1376,Who was the first man to ride the space shuttle into orbit twice?,history,John Young,Byron Lichtenberg,Bob Crippen,John Glen,John Young
1377,Whose visit to South Korea in May of 1984 promoted the tightest security in that nations history?,history,Pope John Paul II,Ronald Reagan,Mikhail Gorbachev,Fidel Castro,Pope John Paul II
1378,What brand of sweetener did G. D. Searle  Co. put on the market in 1983?,history,NutraSweet,Equal,Sweet N Low,Splenda,NutraSweet
1379,"In World War II, the Axis and the Allies were the two main rival powers. Which of these countries was not a member of the Axis?",history,Greece,Hungary,Italy,Japan,Greece
1380,Adolf Hitler was the leader of Nazi Germany and the head of which German party?,history,National Socialist German Workers party,National Christian-Democratic party,National German Communist party,National Socialist German Workers party,Conservative Peoples party
1381,"What was the aim of The Molotov-Ribbentrop pact, signed on 23 August 1939 between Germany and the Soviet Union?",history,Division of the spheres of interest,Mutual economic support,Division of the spheres of interest,A united attack against Great Britain,Creating a Nazi-Soviet Federation
1382,Until which event did the US remain neutral in the Second World War?,history,The Pearl Harbor attack,Operation Barbarossa,The Pearl Harbor attack,The Siege of Leningrad,The battle of Kursk
1383,"Arbeit macht frei was a popular German slogan during World War II, placed mainly on the entrances of which of these?",history,German concentration camps,German concentration camps,German factories,German schools,German field hospitals
1384,This significant battle on the WW II  Eastern front is largely regarded as the largest armed conflict of all time.,history,The battle of Kursk,The battle of Leningrad,The battle of Kursk,The battle of Sevastopol,The battle of Moscow
1385,"What happened on D-day, 6th June,1944?",history,Operation Overlord started.,Victory over Japan was announced.,Operation Overlord started.,Nazi Germany was declared defeated.,The end of World War II was announced.
1386,What 1945 conference considered the final plans for the defeat of Germany and postwar Europe?,history,Yalta Conference,Yalta Conference,Tehran Conference,Dumburton Oaks Conference,Potsdam Conference
1387,Where did the official Japanese surrender on 2nd September 1945 take place?,history,USS Missouri,Berlin,Potsdam,USS Missouri,"Washington, DC"
1388,Which organization did the Allies create in 1945 in order to maintain peace after World War II?,history,The United Nations,The United Nations,The European Union,The League of Nations,The North-Atlantic Treaty Organisation (NATO)
1389,"Who are the two ancient Greek architects who designed the Parthenon, a temple regarded as one of the worlds greatest cultural monuments.",history,Iktinos and Kallikrates,Eugenius and Arcadius,Theodosius and Delos,Iktinos and Kallikrates,Theotokos and Pisisitratus
1390,What ancient Greek vessel was used to mix wine and water?,history,krater,krater,hydria,amphorae,kylix
1391,"This ancient Greek construction, regarded as one the Seven Wonders of the World, was carved by the famed classical sculptor Phidias.",history,The Statue of Zeus at Olympia,The Statue of Zeus at Olympia,Hagia Sophia,The Mausoleum of Maussollos at Halicarnassus,The Lighthouse of Alexandria
1392,"What was the name of the ancient Greek wrestling school, which was later used  for delivering lectures and conducting intellectual conversations?",history,palaestra,bouleuterion,corycelum,gymnasium,palaestra
1393,"In the ancient Greek society, these women were high-class entertainers, much like the Japanese geisha.",history,hetaerae,pallakae,gynaekes,porne,hetaerae
1394,"This ancient Greek, despite having a speech impediment, was one of the greatest orators in his time.",history,Demosthenes,Aristonikos,Didymos,Aristarchos,Demosthenes
1395,"This ancient Greek wrote The Histories, a document considered the first work of history in Western literature.",history,Herodotus,Herodotus,Diodorus,Xenophon,Thucydides
1396,"This ancient Greek philosopher, a teacher of  Aristotle, was the founder of the Academy in Athens.",history,Plato,Parmenides,Democritus,Plato,Socrates
1397,"This ancient Greek playwright was the earliest of the three classical Greek tragedians, the other two being Sophocles and Euripides.",history,Aeschylus,Phrynicus,Aeschylus,Choerilus,Aristeas
1398,Which structure served as a market place in an acnient Greek polis or city-state?,history,agora,miki,kottabos,agora,agoranomos
1399,"The 1998 film, Theres Something About Mary, helped make this model turned actress one of the highest paid actresses in Hollywood. Who said Is that ...is that hair gel?",history,Cameron Diaz,Hilary Swank,Drew Barrymore,Cameron Diaz,Reese Witherspoon
1400,This world famous haute couture designer moved to Miami when he was selected as the costume designer for Miami Vice. What designer was gunned down outside his house by spree killer Andrew Cunanan?,history,Versace,Givenchy,Versace,Ferre,Gucci
1401,"On June 17, 1994 actor and football legend O. J. Simpson, instead of turning himself into the authorities to be charged for the murder of his wife Nicole and her friend Ron Goldman, led the police on a slow speed chase on Interstate 405. O. J. Simpson was a passenger in the white Ford Bronco. Who drove the white Bronco?",history,Al Cowlings,Robert Kardashian,Robert Shapiro,John McKay,Al Cowlings
1402,"Always a bridesmaid and never a bride. No more!  What daytime soap actress won an Emmy
for her role as Erica Kane on her 19th try?",history,Susan Lucci,Melody Thomas Scott,Jeanne Cooper,Eileen Fulton,Susan Lucci
1403,"Many in Hollywood were nervous when this lady was arraigned on charges of pandering and tax evasion on August 9, 1993. Who was known as the Hollywood Madam or Madam to the Stars?",history,Heidi Fleiss,Sydney Biddle Barrows,Heidi Fleiss,Polly Adler,Mona Stangley
1404,"Which of these movies won all five of the top categories: Best Picture, Best Actor, Best Actress, Best Director and Best Screenplay?",history,Silence of the Lambs,The English Patient,Silence of the Lambs,Forrest Gump,Schindlers List
1405,"May 10, 1996 is considered the single deadliest day in the history of Mount Everest. Eight people lost their lives, including famed Everest mountain guides Rob Hall and Scott Fischer. Outside Magazine had contracted a writer to be a part of Rob Halls accent of Mount Everest. What writer turned his experience on Mount Everest into the non-fiction bestseller Into Thin Air?",history,Jon Krakauer,Jon Krakauer,Beak Weathers,Anatoli Boukreev,Sebastian Junger
1406,This invention by Karl Benz in 1886 revolutionized the world of transportation and soon became the main means of transport globally.,history,Automobile,Train,Ship,Automobile,Airplane
1407,This invention was first used in 1969 at UCLA as a means of communication between engineers and scientists associated with academics or government. It was not available for public use until the 1990âs.,history,The Internet,E-mails,The Telephone,The Internet,Two-Way Radio
1408,"In 1908, this city became the first in the United States to institute chlorination of its water. Prior to this the death rate due to water born diseases, such as typhoid fever and cholera, were extremely high.",history,"Jersey City, New Jersey","Chicago, Illinois","New York City, New York","Boston, Massachusetts","Jersey City, New Jersey"
1409,"When did telephone companies first begin establishing trial networks, that use fibre instead of copper cables to carry live telephone traffic?",history,in 1977,in 1997,in 1982,in 1972,in 1977
1410,The invention of the internal combustion engine greatly increased the demand for which natural resource?,history,Petroleum,Natural gas,Water,Coal,Petroleum
1411,"In 1955, Borax III became the first nuclear power plant to utilize nuclear fission to supply an entire town with electricity. Which town was that?",history,"Arco, Idaho","Avila Beach, California","Owego, New York","Arco, Idaho","Hahnville, Louisiana"
1412,"The first use of air conditioning for personnel comfort was in 1902, in which New York City building?",history,New York Stock Exchange,Metropolitan Life Tower,Empire State Building,Woolworth Building,New York Stock Exchange
1413,"In 1895, this German physicist invented the use of electromagnetic radiation to take images of bones and organs inside the human body, which later led to the invention of the X-Ray Machine.",history,Wilhelm Conrad RÃ¶ntgen,Paul Lauterbur,Peter Mansfield,Wilhelm Conrad RÃ¶ntgen,Godfrey Newbold Hounsfield
1415,Which Academy Award winning American actor who died in 2003 played Ed Norton on The Honeymooners?,history,Art Carney,Paul Lynde,Jackie Gleason,Art Carney,Rodney Dangerfield
1416,"This flamboyantly-dressed announcer on The Price Is Right died on October 27th, 2003 in Los Angeles.",history,Rod Roddy,Gene Rayburn,Randy Miller,Gene Olson,Rod Roddy
1417,"This western character actor was in the role of Deputy Jake in Support Your Local Sheriff with James Garner. Before his death on 20 October 2003, he often played the villain in westerns and openly said it was because of his lazy eye.",history,Jack Elam,Boots Randolph,Jack Elam,Pat Hingle,Dan Haggerty
1419,This sassy matronly housekeeper on Give Me A Break! was 54 when she died in 2003.,history,Nell Carter,Bev Carter,Barb Streisand,Bette Midler,Nell Carter
1420,"Tin soldiers and Nixon coming
Were finally on our own.
are the beginning lyrics of a Neil Young song about one states national guard firing into a group of student protesters. On what college campus did a tragic shooting leave four college students dead?",history,Kent State University,Ohio State University,Kent State University,Boston College,University of California at Berkley
1421,"The most famous battle of the Hundred Years War between England and France resulted in a massive French army being defeated by a much smaller English army, led by King Henry V. Where did this battle take place?",history,Agincourt,Harfleur,Agincourt,The Somme,Calais
1422,What battle of 1781 resulted in a decisive victory of the American army against Great Britain and caused the British government to negotiate an end of the American Revolutionary War?,history,Battle of Yorktown,Battle of Yorktown,Battle of Valley Forge,Battle of Bunker Hill,Battle of Saratoga
1423,"It began on July 1st, 1916, and is considered by many, the most devastating battle of World War I, resulting in more than one million casualties.",history,Battle of the Somme,Battle of Ypres,Battle of the Somme,Battle of Verdun,Battle of Galipoli
1424,What city-state was the primary rival of Athens during the Peloponnesian war of 431 BC?,history,Sparta,Byzantium,Sumer,Sparta,Babylon
1425,"During the Wars of Scottish Independence, this 1314 battle resulted in a decisive Scottish victory over England.",history,Battle of Bannockburn,Battle of Falkirk,Battle of Culloden,Battle of Bannockburn,Battle of Inverness
1426,"The First Indochina War came to a dramatic and unexpected end when over 7,000 French soldiers were killed at which small Vietnamese village?",history,Dien Bien Phu,Dien Bien Phu,Hanoi,Hue,Khe Sanh
1427,"Which battle of the Korean War in started on September 15, 1950 when United States marines launched a massive attack on a South Korean port?",history,Battle of Inchon,Battle of Hungnam,Battle of Seoul,Battle of Inchon,Battle of Pusan
1428,"Which of the following is not associated with the Battle of Gettysburg, the bloodiest battle of the American Civil War?",history,Bloody Lane,Picketts Charge,Cemetery Ridge,Bloody Lane,Little Round Top
1429,"Which countries were Israels enemies during the 1967 Arab-Israeli War, also known as the Six-Day War?",history,"Egypt, Syria, Jordan","Turkey, Jordan, Oman","Syria, Jordan, Iraq","Egypt, Syria, Turkey","Egypt, Syria, Jordan"
1430,"The Charge of the Light Brigade, which remained in history as a rather incompetent and unsuccessful cavalry charge, led by Lord Cardigan, occurred during which military conflict?",history,The Crimean War,The Boer War,The Crimean War,The Franco-Prussian War,The Boxer Rebellion
1431,"It was just the musical chords of E and F played alternately back and forth but even to this day
when you hear these chords you think DANGER. For what 1975 summer blockbuster did composer John Williams win an Oscar for Best Score?",history,Jaws,Halloween,E.T.,Jaws,Jurassic Park
1432,"During Operation Barbarossa, which began on June 22, 1941, the Red Army was found unprepared for a possible attack for what reason?",history,All of these,The aviation units were not dispersed and ready for a battle,All of these,There was a disorganization in the armor units,Stalin didnt believe that the Third Reich was going to attack only two years after signing the Molotov-Ribbentrop Pact
1433,"The British colony of Hong Kong was finally defeated by Japanese Forces in December, 1941 on Christmas day. The locals called that day by what name?",history,Black Christmas,Bloody Christmas,None of these,Black Christmas,Sad Christmas
